area_coverage_2016,area_coverage_2014,area_sq_km,pcd_sector,area_coverage_2015,name,site_count,site_density
21.94835552,0.0,6.287487,G847,16.85888178,ArgyllandBute,3,0.47713816346658056
0.0,0.0,20.20283,G849,0.0,ArgyllandBute,0,0
0.0,0.0,26.434453,G848,0.0,ArgyllandBute,7,0.2648059333779292
0.0,0.0,34.566853,G825,0.0,ArgyllandBute,6,0.17357669209864143
0.0,0.0,47.656832,G840,0.0,ArgyllandBute,9,0.18885015269164346
0.0,0.0,31.577283,PA345,0.0,ArgyllandBute,2,0.06333667149260434
0.0,0.0,68.809225,PA237,0.0,ArgyllandBute,7,0.1017305455772827
0.0,0.0,46.651037,PA209,0.0,ArgyllandBute,0,0
0.0,0.0,24.539126,PA308,0.0,ArgyllandBute,2,0.08150249523964301
0.0,0.0,82.383167,PA200,0.0,ArgyllandBute,2,0.024276804022355682
0.0,0.0,227.012124,PA238,0.0,ArgyllandBute,14,0.06167071499670211
0.0,0.0,115.067751,PA371,0.0,ArgyllandBute,8,0.06952425793044308
0.0,0.0,35.104921,PA437,0.0,ArgyllandBute,3,0.08545810429255773
0.0,0.0,356.423852,PA344,0.0,ArgyllandBute,10,0.028056483717032496
0.0,0.0,271.220778,G630,0.0,ArgyllandBute,16,0.05899253043216328
0.0,0.0,10.15167,PA766,0.0,ArgyllandBute,0,0
0.0,0.0,523.280421,PA286,0.0,ArgyllandBute,10,0.019110212418973725
0.0,0.0,16.285166,PA417,0.0,ArgyllandBute,2,0.12281115218598324
0.0,0.0,546.650367,PA318,0.0,ArgyllandBute,11,0.020122551202823944
0.0,0.0,19.619303,PA477,0.0,ArgyllandBute,1,0.050970210307675054
0.0,0.0,37.809577,PA487,0.0,ArgyllandBute,3,0.07934497653861614
0.0,0.0,178.909829,PA756,0.0,ArgyllandBute,9,0.05030467051645329
0.0,0.0,87.892466,PA776,0.0,ArgyllandBute,3,0.034132618374821795
0.0,0.0,106.376483,PA212,0.0,ArgyllandBute,3,0.028201721991504457
0.0,0.0,123.194192,PA278,0.0,ArgyllandBute,4,0.032469063151938204
0.0,0.0,74.282892,PA726,0.0,ArgyllandBute,0,0
0.0,0.0,202.23637,PA427,0.0,ArgyllandBute,4,0.019778836022422672
0.0,0.0,247.402801,PA328,0.0,ArgyllandBute,9,0.036377922819071075
0.0,0.0,34.945021,PA497,0.0,ArgyllandBute,0,0
0.0,0.0,31.748424,PA666,0.0,ArgyllandBute,1,0.031497626464860116
0.0,0.0,57.491943,PA676,0.0,ArgyllandBute,1,0.017393741589147544
0.0,0.0,457.223989,PA296,0.0,ArgyllandBute,20,0.04374223680551459
0.0,0.0,101.260023,PA248,0.0,ArgyllandBute,6,0.059253393612205676
0.0,0.0,211.157549,PA384,0.0,ArgyllandBute,4,0.018943201504957798
0.0,0.0,48.462046,PA467,0.0,ArgyllandBute,2,0.04126940905466517
0.0,0.0,26.2383,PA646,0.0,ArgyllandBute,0,0
0.0,0.0,441.497496,PA351,0.0,ArgyllandBute,11,0.024915203596081098
0.0,0.0,22.289647,PA258,0.0,ArgyllandBute,0,0
0.0,0.0,54.172009,PA617,0.0,ArgyllandBute,2,0.03691943564433802
0.0,0.0,82.536444,PA786,0.0,ArgyllandBute,1,0.012115859995131362
0.0,0.0,357.051832,PA331,0.0,ArgyllandBute,12,0.03360856582861617
0.0,0.0,63.570235,PA457,0.0,ArgyllandBute,1,0.015730632425694197
0.0,0.0,155.933304,PA223,0.0,ArgyllandBute,3,0.019238994640939564
0.0,0.0,127.646008,PA656,0.0,ArgyllandBute,6,0.047004995252182116
0.0,0.0,197.070801,PA447,0.0,ArgyllandBute,0,0
0.0,0.0,62.152104,PA736,0.0,ArgyllandBute,0,0
0.0,0.0,24.121494,PA746,0.0,ArgyllandBute,0,0
0.0,0.0,161.955725,PA268,0.0,ArgyllandBute,5,0.03087263509826528
